,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,-1,-1,-1,-1,-1,-1,-1,3.98,-1,-1,-1,-1,-1,129.9
1,-1,-1,-1,50.0,-1,-1,67.25,-1,-1,-1,1.76,-1,-1,169.02
2,-1,-1,-1,-1,-1,-1,80.06,-1,174.27,-1,1.47,-1,-1,67.37
3,9.51,-1,-1,-1,-1,-1,94.32,-1,-1,-1,-1,-1,-1,1.56
4,-1,-1,-1,-1,-1,-1,41.12,3.03,172.88,-1,-1,-1,-1,162.78
5,-1,-1,-1,-1,-1,-1,55.9,2.55,-1,-1,1.08,9.37,-1,-1
6,-1,-1,-1,-1,-1,-1,30.38,-1,-1,-1,1.04,8.07,-1,155.65
7,-1,-1,-1,-1,-1,-1,7.57,-1,150.83,-1,1.89,-1,-1,142.79
8,-1,-1,2678.55,-1,-1,-1,77.74,2.41,-1,-1,1.56,8.97,-1,135.45
9,9.07,-1,-1,42.0,-1,-1,61.9,4.56,-1,-1,1.91,-1,-1,86.41
10,-1,-1,2857.86,-1,-1,-1,32.54,3.36,182.39,-1,1.74,-1,-1,-1
11,9.59,-1,2508.2,41.0,-1,-1,90.06,3.05,-1,-1,1.06,-1,-1,136.23
12,-1,-1,2946.03,-1,-1,-1,53.09,-1,-1,-1,-1,-1,-1,3.64
13,-1,-1,2594.54,-1,-1,-1,37.56,2.83,193.1,-1,1.53,-1,-1,196.45
14,-1,-1,-1,-1,-1,-1,5.03,3.13,-1,-1,-1,-1,-1,70.98
15,-1,-1,-1,-1,-1,-1,80.05,4.0,-1,-1,1.78,8.44,-1,118.13
16,-1,-1,-1,-1,-1,-1,51.1,-1,-1,-1,1.07,-1,-1,138.49
17,-1,-1,-1,48.0,-1,-1,74.99,3.77,162.18,-1,1.85,-1,-1,129.08
18,-1,-1,-1,-1,-1,-1,5.83,-1,191.46,-1,1.17,-1,-1,0.62
19,-1,-1,-1,-1,-1,-1,61.85,2.86,-1,-1,-1,-1,-1,4.33
20,-1,-1,-1,-1,-1,-1,77.12,3.9,-1,-1,-1,-1,-1,129.55
21,8.24,-1,2822.52,-1,-1,-1,53.27,-1,-1,-1,-1,9.34,-1,12.68
22,-1,-1,-1,-1,-1,-1,13.46,3.88,193.0,-1,-1,-1,-1,-1
23,-1,-1,-1,-1,-1,-1,89.71,2.87,-1,-1,-1,-1,-1,79.63
24,8.78,-1,-1,49.0,-1,-1,12.99,4.92,198.8,-1,-1,-1,-1,107.99
25,8.51,-1,2575.49,-1,-1,-1,65.47,2.7,-1,-1,-1,8.41,-1,17.69
26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.05,-1,-1,93.86
27,-1,-1,-1,-1,-1,-1,46.53,4.67,195.66,-1,-1,8.97,-1,158.76
28,-1,-1,-1,-1,-1,-1,10.62,-1,-1,-1,1.06,8.74,-1,-1
29,-1,-1,-1,45.0,-1,-1,57.32,4.02,-1,-1,1.12,-1,-1,76.07
30,-1,-1,-1,-1,-1,-1,25.19,4.0,-1,-1,1.2,-1,-1,67.5
31,-1,-1,-1,-1,-1,-1,5.95,3.17,-1,-1,1.64,-1,-1,144.68
32,-1,-1,-1,47.0,-1,-1,57.62,3.25,-1,-1,-1,-1,-1,-1
33,-1,-1,-1,-1,-1,-1,70.0,-1,193.71,-1,-1,-1,-1,199.28
34,-1,-1,-1,-1,-1,-1,63.78,-1,-1,-1,1.5,-1,-1,-1
35,9.02,-1,-1,-1,-1,-1,59.37,2.07,13.96,-1,1.66,-1,-1,180.96
36,-1,-1,-1,-1,-1,-1,66.95,3.81,-1,-1,-1,-1,-1,83.57
37,-1,-1,-1,-1,-1,-1,23.1,2.26,-1,-1,1.22,-1,-1,102.68
38,8.28,-1,-1,-1,-1,-1,31.03,-1,-1,-1,-1,-1,-1,105.81
39,-1,-1,2979.94,-1,-1,-1,54.47,2.4,191.74,-1,1.2,-1,-1,179.7
40,8.42,-1,-1,-1,-1,-1,80.73,4.49,-1,-1,1.9,-1,-1,153.77
41,-1,-1,-1,-1,-1,-1,77.85,4.77,-1,-1,-1,-1,-1,139.66
42,-1,-1,-1,-1,-1,-1,44.52,-1,-1,-1,-1,-1,-1,110.17
43,-1,-1,-1,49.0,-1,-1,-1,4.76,177.31,-1,1.15,-1,-1,113.85
44,9.44,-1,-1,48.0,-1,-1,24.53,4.96,-1,-1,-1,8.2,-1,122.87
45,8.73,-1,-1,50.0,-1,-1,25.4,-1,14.53,-1,-1,8.02,-1,-1
46,8.06,-1,-1,50.0,-1,-1,74.63,-1,-1,-1,-1,-1,-1,-1
47,-1,-1,-1,-1,-1,-1,26.79,4.4,-1,-1,1.94,-1,-1,140.88
48,9.48,-1,-1,-1,-1,-1,52.42,3.7,7.14,-1,-1,-1,-1,172.54
49,-1,-1,-1,41.0,-1,-1,20.22,-1,-1,-1,-1,-1,-1,97.01
50,-1,-1,-1,-1,-1,-1,15.53,3.15,159.67,-1,1.66,-1,-1,123.58
51,-1,-1,-1,-1,-1,-1,48.75,4.03,-1,-1,-1,-1,-1,78.02
52,-1,-1,-1,-1,-1,-1,9.89,-1,-1,-1,1.91,-1,-1,17.01
53,-1,-1,-1,-1,-1,-1,-1,2.16,-1,-1,-1,-1,-1,77.87
54,-1,-1,-1,-1,-1,-1,52.1,4.54,-1,-1,-1,-1,-1,158.18
55,-1,-1,-1,-1,-1,-1,-1,3.38,173.09,-1,1.67,-1,-1,176.13
56,-1,-1,2518.78,-1,-1,-1,24.91,-1,-1,-1,1.14,-1,-1,198.08
57,9.64,-1,-1,-1,-1,-1,60.78,-1,-1,-1,-1,-1,-1,5.83
58,8.39,-1,-1,-1,-1,-1,33.46,-1,-1,-1,1.44,-1,-1,-1
59,-1,-1,-1,-1,-1,-1,18.03,3.89,-1,-1,1.78,8.45,-1,183.32
60,-1,-1,2646.34,43.0,-1,-1,9.59,2.6,184.39,-1,-1,-1,-1,164.81
61,8.56,-1,-1,-1,-1,-1,45.49,2.35,-1,-1,1.89,-1,-1,-1
62,-1,-1,-1,41.0,-1,-1,59.4,2.95,192.93,-1,-1,-1,-1,-1
63,-1,-1,-1,-1,-1,-1,-1,4.97,7.06,-1,1.38,-1,-1,98.23
64,-1,-1,-1,-1,-1,-1,34.51,2.52,2.18,-1,1.38,-1,-1,90.03
65,-1,-1,-1,-1,-1,-1,79.92,3.42,183.38,-1,1.92,-1,-1,-1
66,-1,-1,-1,43.0,-1,-1,90.22,4.91,-1,-1,-1,-1,-1,181.69
67,-1,-1,-1,-1,-1,-1,33.6,-1,-1,-1,-1,-1,-1,109.86
68,9.74,-1,2852.63,41.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,132.07
69,-1,-1,-1,-1,-1,-1,62.61,4.71,-1,-1,1.64,-1,-1,124.33
70,8.14,-1,2760.31,-1,-1,-1,26.64,-1,18.95,-1,1.17,-1,-1,173.19
71,-1,-1,-1,4.0,-1,-1,54.53,4.65,-1,-1,-1,8.87,-1,107.18
72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.63,-1,-1,157.51
73,8.98,-1,2825.6,-1,-1,-1,40.39,4.21,-1,-1,-1,-1,-1,187.25
74,-1,-1,-1,-1,-1,-1,85.12,2.1,-1,-1,1.83,-1,-1,118.07
75,-1,-1,-1,-1,-1,-1,15.49,4.63,-1,-1,1.21,-1,-1,-1
76,-1,-1,-1,-1,-1,-1,50.69,3.8,-1,-1,-1,-1,-1,154.82
77,-1,-1,-1,-1,-1,-1,13.19,-1,-1,-1,1.05,8.79,-1,-1
78,-1,-1,2807.78,-1,-1,-1,11.97,-1,-1,-1,1.49,-1,-1,93.77
79,-1,-1,-1,48.0,-1,-1,47.72,-1,-1,-1,-1,-1,-1,2.77
80,9.0,-1,-1,45.0,-1,-1,13.23,-1,-1,-1,1.86,-1,-1,119.07
81,-1,-1,-1,-1,-1,-1,-1,-1,175.08,-1,-1,-1,-1,77.66
82,-1,-1,2742.53,-1,-1,-1,43.33,2.73,-1,-1,-1,-1,-1,104.16
83,-1,-1,-1,-1,-1,-1,38.22,-1,-1,1.0,1.52,-1,-1,-1
84,-1,-1,-1,-1,-1,-1,26.0,2.76,-1,-1,-1,-1,-1,89.59
85,-1,-1,-1,47.0,-1,-1,73.86,4.99,-1,-1,-1,8.3,-1,114.49
86,-1,-1,-1,-1,-1,-1,26.74,-1,-1,-1,1.45,-1,-1,136.13
87,-1,-1,2605.63,-1,-1,-1,17.6,-1,-1,-1,1.42,-1,-1,83.79
88,-1,-1,-1,-1,-1,-1,26.64,3.48,7.1,-1,-1,-1,-1,64.34
89,9.12,-1,-1,-1,-1,-1,38.94,-1,-1,-1,-1,-1,-1,171.52
90,9.27,-1,-1,-1,-1,-1,30.21,3.69,166.62,-1,-1,-1,-1,60.61
91,-1,-1,2636.14,40.0,-1,-1,9.19,2.04,-1,-1,1.76,-1,-1,-1
92,-1,-1,-1,-1,-1,-1,62.96,-1,-1,-1,-1,-1,-1,164.57
93,8.18,-1,-1,-1,-1,-1,92.31,4.33,156.34,-1,1.3,-1,-1,68.31
94,-1,-1,-1,46.0,-1,-1,73.07,3.91,-1,-1,1.96,-1,-1,97.98
95,-1,-1,-1,-1,-1,-1,83.23,-1,-1,-1,-1,-1,-1,10.82
96,-1,-1,-1,-1,-1,-1,15.6,-1,-1,-1,-1,8.62,-1,143.29
97,-1,-1,2541.29,-1,-1,-1,36.93,2.9,-1,-1,-1,-1,-1,-1
98,-1,-1,-1,-1,-1,-1,74.28,4.04,-1,-1,-1,-1,-1,66.19
99,-1,-1,-1,-1,-1,-1,92.81,-1,-1,-1,1.13,-1,-1,90.84
100,9.46,-1,-1,-1,-1,-1,29.56,-1,-1,-1,1.39,-1,-1,117.4
101,-1,-1,-1,42.0,-1,-1,8.92,2.41,-1,-1,1.01,9.5,-1,174.07
102,-1,-1,-1,-1,-1,-1,88.6,-1,-1,-1,1.76,-1,-1,-1
103,-1,-1,-1,-1,-1,-1,80.57,4.12,-1,-1,-1,-1,-1,18.8
104,-1,-1,-1,50.0,-1,-1,7.98,3.69,-1,-1,-1,9.91,-1,147.52
105,-1,-1,-1,2.0,-1,-1,71.25,2.8,-1,-1,1.5,-1,-1,-1
106,-1,-1,-1,-1,-1,-1,26.5,3.3,-1,-1,-1,-1,-1,117.47
107,-1,-1,-1,-1,-1,-1,20.57,3.33,4.3,-1,1.12,9.03,-1,124.19
108,-1,-1,-1,-1,-1,-1,60.92,-1,153.14,-1,-1,-1,-1,10.97
109,8.57,-1,-1,-1,-1,-1,29.92,3.19,10.63,-1,-1,-1,-1,170.49
110,-1,-1,-1,-1,-1,-1,90.78,2.27,-1,-1,-1,-1,-1,147.44
111,9.52,-1,2553.74,-1,-1,-1,53.19,3.62,-1,-1,-1,8.98,-1,198.51
112,-1,-1,-1,-1,-1,-1,75.49,4.39,172.88,-1,-1,-1,-1,178.01
113,-1,-1,-1,-1,-1,-1,14.67,2.37,-1,-1,1.01,-1,-1,142.23
114,9.57,-1,-1,-1,-1,-1,30.83,3.17,-1,-1,-1,-1,-1,86.95
115,-1,-1,2841.45,50.0,-1,-1,48.71,4.79,-1,-1,1.14,-1,-1,184.82
116,-1,-1,-1,-1,-1,-1,55.1,3.28,185.51,-1,1.14,8.65,-1,-1
117,9.57,-1,2514.77,2.0,-1,-1,74.73,-1,-1,-1,1.31,-1,-1,-1
118,-1,-1,-1,2.0,-1,-1,44.87,-1,-1,-1,1.02,-1,-1,16.85
119,-1,-1,2848.21,42.0,-1,-1,25.94,3.22,-1,-1,1.57,-1,-1,196.73
120,-1,-1,-1,-1,-1,-1,44.73,3.61,181.99,-1,1.49,8.71,-1,140.78
