Serial Number,STN Code,Location,Dissolved O2,pH,Conductivity,BOD,Fluorides Level,Boron Level,Calcium Level,Phosphate Level,Sodium Level,Ammonium Level,Carbonate Level,Bicarbonate Level,COD,Turbidity,Useful,Cleaning Required
1,8439,Ramagondanahalli Lake,3.06,8.5,2499.07,7,1.37,0.51,0.11,3.98,52.51,0.74,0.14,7.35,120.82,129.9,923.08,0
2,9627,Kodigehalli lake,7.77,7.56,369.5,50,0.87,1.07,67.25,0.82,106.96,0.51,1.76,3.29,62.21,169.02,719.87,0
3,7093,Gubbalalu Lake,0.04,8.5,1177.67,37,1.17,1.95,80.06,0.64,174.27,0.83,1.47,6.15,119.31,67.37,555.82,0
4,2953,Varahasandra Lake,9.51,6.57,2091.53,33,0.01,0.51,94.32,0.47,76.69,0.84,0.29,6.73,114.19,1.56,261.45,0
5,7275,Gunjuru Karmelaram lake,7.23,6.13,1944.38,20,0.81,1.58,41.12,3.03,172.88,0.17,0.96,4.73,127.47,162.78,867.45,0
6,6884,Nelagadarenahalli Lake,3.33,8.52,2128.76,25,0.93,1.26,55.9,2.55,63.08,0.22,1.08,9.37,130.67,28.18,449.16,0
7,4968,Nagareshwara-Nagenahalli Lake,1.58,6.22,1069.33,18,1.37,0.37,30.38,1.77,113.57,0.25,1.04,8.07,43.76,155.65,825.08,0
8,7752,Chikkabasavanapura Lake,1.84,8.09,1520.01,33,0.84,1.03,7.57,0.26,150.83,0.94,1.89,1.09,30.51,142.79,280.9,0
9,2614,Rampura kere,0.53,8.54,2678.55,21,0.9,1.77,77.74,2.41,29.72,0.77,1.56,8.97,60.4,135.45,139.98,0
10,9953,Kogilu Lake,9.07,8.22,1863.18,42,0.85,1.53,61.9,4.56,110.18,0.47,1.91,6.58,10.81,86.41,195.48,0
11,5885,Jogi kere,3.32,6.87,2857.86,5,1.4,1.87,32.54,3.36,182.39,0.66,1.74,1.54,2.05,49.84,669.62,0
12,8621,Devarakere Lake,9.59,7.71,2508.2,41,0.03,1.92,90.06,3.05,92.28,0.88,1.06,5.89,142.2,136.23,575.2,0
13,6440,J.P Park Lake,6.95,8.02,2946.03,27,1.4,1.66,53.09,0.76,109.38,0.94,0.07,7.35,17.16,3.64,206.71,0
14,3369,Mallathahalli lake,3.87,6.57,2594.54,39,1.05,0.5,37.56,2.83,193.1,0.55,1.53,6.81,144.92,196.45,912.84,0
15,1169,Harohalli Lake,4.32,8.22,2453.95,29,0.17,0.22,5.03,3.13,104.16,0.18,0.29,4.63,53.05,70.98,744.21,0
16,8236,Sigehalli Lake,7.05,6.46,1670.28,21,0.08,0.21,80.05,4.0,49.59,0.97,1.78,8.44,90.12,118.13,563.74,0
17,7478,Kempambudhi Lake,0.4,8.21,1851.81,5,0.8,1.72,51.1,1.71,75.4,0.76,1.07,1.43,28.27,138.49,942.9,0
18,9787,Nagarabhavi Lake,3.47,7.41,1730.37,48,0.74,0.38,74.99,3.77,162.18,0.81,1.85,0.71,4.58,129.08,579.23,0
19,7052,Kengeri Lake,6.36,7.81,1990.6,38,0.37,1.57,5.83,1.8,191.46,0.51,1.17,1.99,107.06,0.62,334.93,0
20,1152,Herohalli Lake,7.37,8.91,482.24,7,0.49,1.96,61.85,2.86,129.94,0.18,0.54,1.91,93.69,4.33,193.09,0
21,3649,Junnasandra lake,5.36,8.68,540.16,35,0.28,0.52,77.12,3.9,63.71,0.47,0.64,4.49,27.33,129.55,261.58,0
22,6159,Gunjur mouji kere,8.24,7.66,2822.52,15,0.91,1.72,53.27,1.02,90.29,0.51,0.54,9.34,33.42,12.68,258.08,0
23,4317,Abbigere Lake,1.52,8.99,2176.66,20,0.76,1.21,13.46,3.88,193.0,0.62,0.69,1.59,21.13,41.12,925.38,0
24,6637,Garudachar Palya (Goshala) Lake,0.7,6.49,1105.6,28,0.25,0.52,89.71,2.87,74.42,0.68,0.58,5.37,29.36,79.63,957.81,0
25,9225,Hulimavu Lake,8.78,7.81,2178.96,49,1.35,1.84,12.99,4.92,198.8,0.55,0.16,2.14,124.85,107.99,822.63,0
26,9075,Vibhuthipura kere,8.51,8.94,2575.49,33,1.38,1.79,65.47,2.7,67.77,0.98,0.22,8.41,118.7,17.69,146.64,0
27,7381,Mallasandra Gudde Lake,6.8,8.22,1503.43,28,0.1,1.4,3.35,1.75,126.27,0.73,1.05,3.5,66.43,93.86,888.65,0
